"","C1","C2","C3","C4","M2","M3","M4","M5"
"Pfn1",12.8962715556301,12.7444217507054,13.0231826398648,12.9261517282447,14.4346867701634,14.3264959987179,14.0910342705591,13.3243739376628
"Rack1",13.4165284512704,13.3017868695722,13.3728992855384,13.0248510054047,13.6826285023845,13.3892999911241,14.0710866801329,13.3960936298008
"Igkc",13.1942556088234,13.98959862672,13.7382429396167,14.8826716499508,11.814060470041,13.4731612956361,12.0627597644485,14.0837221382601
"Fn1",13.1911543614739,13.4299867145681,13.366864476019,13.334609532995,8.46311514479575,8.56836510811783,10.2725177741073,14.5004278796168
"Hnrnpa2b1",12.9026054054521,12.8323736437439,13.0877730049366,13.0896240646073,14.0886051316496,14.1398770545336,14.3653965206649,13.4751968603927
"H2-K1",13.5870057753627,13.5148945945233,13.5726164233211,13.2434196626688,13.5956763289975,13.3590026176079,13.6454893290235,13.6375565674412
"Tgoln1",13.9821109957621,14.2665137825268,13.8543496141009,13.7764882552944,13.0001674934026,12.4840430962409,12.9459309265659,12.7025478376446
"Mptx1",14.2036889810944,15.1926035283043,14.0849141773133,15.1854347905907,7.87256639485877,5.97421353113289,6.21598410980711,5.9209126692165
"Col1a1",13.1085588460719,13.1134312629691,13.2165295589043,12.97344951574,10.039589887857,9.8380710459586,11.0200570437935,14.7651102969666
"Slc25a5",13.7672846575114,13.7947002008787,13.7638637297545,13.5471511058042,13.2358556804575,12.5669647707595,13.1912399527084,13.1970687892472
"Acta2",13.5760652664947,13.5550177618818,14.0701333170149,14.3553869309572,9.09610101077348,9.36513262550094,10.8822022110134,12.8196130476764
"Ybx1",12.7841102161545,12.6186058677044,12.7846665014909,12.7732997539903,13.9332183942944,13.0387539685904,14.6363064395462,13.2567330531324
"Rpl8",13.0348520643066,12.954198322367,13.0664652282246,12.818843003151,13.7080517136251,13.4345543069606,14.4046999816529,13.2354895052945
"Anxa2",12.490071796914,12.4619742261473,12.4159020577278,12.5022346303456,14.3479126020476,14.2525006739864,14.8711808577828,13.4631757167018
"Car4",14.1110079792872,13.924275837809,13.9448256570293,12.9579580560467,14.207282196763,14.4215224687801,11.9171160058246,11.1637889257443
"Saa1",13.7846326589157,13.5959026645278,13.8604263626353,12.2340945506817,14.0444793796729,13.9819741178353,13.320372402303,11.8544184611871
"Slc26a2",14.6225372271593,14.7203314628427,14.3117718082499,13.192556682875,11.5987995074008,10.9370024633363,10.5737717826093,11.3747327159352
"Gpi1",12.6823975436592,12.6771759257474,12.6518004729103,12.9252055494732,13.9653051117524,13.7350969850475,13.3866878894566,12.4766444216837
"Rpl7",12.9729117244974,12.8893919213156,13.0896423072421,12.7217378635541,13.7265805985893,13.5815717651775,14.1915338831411,13.1280149247973
"Eno1",12.8426930088858,12.7788034365384,12.7931626979949,12.8705487648265,14.0121865735472,13.3167497374119,14.4383339413657,13.4838972418618
"Rps6",12.839112252136,12.7521741570305,13.0443932561929,12.5876367494095,13.7847290830728,13.7361975054216,14.2158901731347,13.0687473513618
"Sema4g",14.0479985433181,13.8478660362012,14.0761653825073,12.9731443630116,14.0500570461533,14.038761785237,11.0897002932914,11.2687304495172
"Rpl18a",13.0152789092844,12.7122318825637,13.0079041506592,12.5627049778132,13.9108400244299,13.8993322411178,13.9734854829736,12.7723187174476
"Actn4",13.4622069423632,13.5781514252387,13.18297911186,13.6196153916505,13.1488593223908,13.2390266657748,13.1516870251521,13.2780531628553
"Calr",13.0147778086892,12.8940710741532,12.8521223407308,12.9455684278419,13.8942131346278,13.8699823653982,13.9566718693881,13.6111232074148
"Rpl10",13.0430663369055,12.932105743608,13.058558163776,12.7639807189874,13.6479748224508,13.3551191477935,13.8579372126279,13.0118847461817
"Tnni2",4.54170366838132,5.03468138209761,4.90562660777374,4.82755445813143,7.91536041457573,9.04172941895579,6.84501123191768,5.602377755258
"Ctsb",12.8654758811789,12.8176719160957,12.7814674834871,12.6433572652509,12.9158360081678,12.5609437979038,13.1880094800431,13.5846113697967
"Col4a1",12.3516934874733,12.5176133467732,12.5225777516612,12.6289013477989,9.18868482361145,9.53385826477605,10.6737520970825,14.4277142232517
"St6galnac6",13.5740259108417,13.6289596793168,13.4539457703841,13.4996355595368,13.4243497224918,12.9225740937621,13.0542492389018,12.5434749623475
"S100a6",12.5822401873348,12.6037881653404,13.0357674044865,12.6031017149337,14.2308019315473,14.7406731064693,13.9824128141521,12.1804107754848
"Mt1",9.50901316191239,9.75965030732388,9.38149524399882,9.51639216745485,13.1627169186071,14.748329595606,12.9620101039781,12.1875299635777
"Myl6",12.8197358257665,12.6699833933532,13.1644066073174,13.1807124500802,13.4748397659733,13.7081090035794,13.1607039263206,12.1321245781623
"Rps9",12.8951829551796,12.7297259989527,13.0011972400393,12.5709963192284,13.2850000090409,12.9939769159518,14.2230817247982,13.159825999524
"Rpl3",13.1087153857211,13.1275494479968,13.034274962043,12.767328431213,13.1449552227348,12.7983212502812,13.8570129413736,13.4842308263514
"Rpl18",12.6697211807063,12.5560815079692,12.8798087269769,12.5764305628221,13.8591255121511,13.6838694561999,14.2440196027706,12.8621584408741
"P4hb",12.8004832932057,12.8727250105246,12.5668129426637,12.9746694816101,13.5124104772314,13.2209465138021,14.0014424456128,13.394319747898
"Rps4x",13.1255224690733,13.0522493515426,13.1406068904422,12.8723498716002,12.9900471865302,12.6889006550336,13.8736512972446,13.018041598443
"Cfl1",12.1431490627795,12.1656497703469,12.1822567597782,12.5764305628221,14.1536116086279,13.9001741213824,14.2410470175926,13.2022150063951
"B3galt5",13.1644457760683,13.5093506168694,12.6543287389889,13.4097048826372,13.2407416166882,13.4295091930478,12.9690422505535,12.6677261452874
"Clca4b",5.77616903871395,6.71642976602231,5.99686112785598,6.65684302714775,13.810895546574,14.6659176824686,14.1885979964302,13.3847029127782
"Rps5",12.7252952717896,12.5947828760576,12.8119239555089,12.4215568245789,13.7469610792542,13.6921566788651,14.1748670874119,12.780852781648
"Lrp1",12.7870476414415,13.0358593379764,12.5508269741218,12.9731443630116,11.4059654045755,10.9864681620353,10.5818512348268,14.1342647003613
"Dsp",13.7637103581941,13.7994289992,13.3784385132843,13.6504771855442,12.5420744443309,11.8960599348383,12.5759624473407,12.5312584979079
"Rpl6",12.829266594422,12.6668619685239,12.8014336872064,12.4566868868894,13.6416557043034,13.4328099172288,14.0769729642683,12.896651085465
"Cdhr5",13.6925986027876,13.696141670424,13.5502352777748,13.7316421263283,13.8386690776324,13.6430456142173,12.1809260250249,11.3313840611945
"mt-Co3",10.0838656170028,10.4306816872044,10.0469726692593,10.2413929090033,14.192858027912,14.6583075374126,12.3091897639324,8.64426813984335
"Rps8",12.5249767129056,12.3830965407553,12.6371271656881,12.3241843335153,13.7669366983409,13.7865420412885,14.1127246383108,12.7904161258279
"Itm2b",13.559554611899,13.5478244325809,13.6451989623108,13.3507904535644,12.5541810352553,12.2429935916327,12.2953369331074,12.5232727804987
